,Author,Year,Journal,Title,Abstract,DOI,exclude_duplicate_study,Link,Extracted by,Included,Reason for exclusion,Animal model,Species,Strain,Sex,Age,Tested drug(s),Comparator,Outcome,Total number of animals,Treatment regimen,EAE_1_drug_mean,EAE_1_drug_n,EAE_1_drug_var,EAE_1_con_mean,EAE_1_con_n,EAE_1_con_var,EAE_1_data_type,MRI_1_drug_mean,MRI_1_drug_n,MRI_1_drug_var,MRI_1_con_mean,MRI_1_con_n,MRI_1_con_var,MRI_1_data_type,MRI Outcome...36,Comment,Tested drug 2,Outcome drug 2,Treatment regimen drug 2...67,EAE_2_drug_mean,EAE_2_drug_n,EAE_2_drug_var,EAE_2_con_mean,EAE_2_con_n,EAE_2_con_var,EAE_2_data_type,...75,Tested drug 3,Treatment regimen drug 2...77,EAE_3_drug_mean,EAE_3_drug_n,EAE_3_drug_var,EAE_3_con_mean,EAE_3_con_n,EAE_3_con_var,EAE_3_data_type,...85,MRI_2_drug_mean,MRI_2_drug_n,MRI_2_drug_var,MRI_2_con_mean,MRI_2_con_n,MRI_2_con_var,MRI_2_data_type,MRI Outcome...93,...94,MRI_3_drug_mean,MRI_3_drug_n,MRI_3_drug_var,MRI_3_con_mean,MRI_3_con_n,MRI_3_con_var,MRI_3_data_type,MRI Outcome...102,MRI_4_drug_mean,MRI_4_drug_n,MRI_4_drug_var,MRI_4_con_mean,MRI_4_con_n,MRI_4_con_var,MRI_4_data_type,MRI Outcome...110,Species_in_study,status,status2
101,"das Neves, S. P. and Santos, G. and Barros, C. and Pereira, D. R. and Ferreira, R. and Mota, C. and Monteiro, S. and Fernandes, A. and Marques, F. and Cerqueira, J. J.",2020,J Neuroimmunol,Enhanced cognitive performance in experimental autoimmune encephalomyelitis mice treated with dimethyl fumarate after the appearance of disease symptoms,"In multiple sclerosis (MS), cognitive dysfunction is common but difficult to treat. We analyzed the impact of dimethyl fumarate, an MS drug with neuroprotective properties, in spatial memory performance in a mouse model of MS and looked for structural correlates in the hippocampus. Treated mice presented better cognitive performance which was not associated with structural hippocampal damage but with decreased demyelination in the fimbria. Dimethyl fumarate, even if initiated after hindlimb paralysis, ameliorated memory deficits in the MS mouse model due, at least in part, to its positive impact in the demyelination of the main hippocampal output pathway.",10.1016/j.jneuroim.2020.577163,no,NA,IEB,1,NA,EAE,mouse,C57BL/6,female,10,Dimethyl fumarate,control,1,NA,2,2,22,0.3,2.7,20,0.25,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
102,"Dayani, L. and Dinani, M. S. and Aliomrani, M. and Hashempour, H. and Varshosaz, J. and Taheri, A.",2022,Mult Scler Relat Disord,Immunomodulatory effects of cyclotides isolated from Viola odorata in an experimental autoimmune encephalomyelitis animal model of multiple sclerosis,"BACKGROUND: Multiple sclerosis (MS) is a demyelinating disease of the central nervous system that causes chronic inflammation. Cyclotides are small plant proteins with a wide range of biological activity, making them a target for researchers to investigate. This study was conducted to investigate the possible effects of cyclotide-rich fractions from Viola odorata as an immunomodulatory agent in an experimental autoimmune encephalomyelitis (EAE) model of MS. METHODS: At room temperature, the plant materials were subjected to maceration in methanol: dichloromethane (1:1; v/v) for 3 days. The extraction was repeated 3 times, and the final concentrated extract was partitioned 3 times by 1/2 volume of double-distilled water. The aqueous phases were separated and freeze-dried. Finally, the crude extract was fractionated by C18 silicagel using vacuum liquid chromatography, with mobile phases of 30%, 50% and 80% of ethanol: water, respectively. The 50%, and 80% fractions were analyzed by HPLC and MALDI-TOF analysis and administrated intraperitoneally to forty-five female C57BL/6 EAE-induced mice, at 5, 25, and 50 mg/kg doses. After 28 days, the animals were evaluated using EAE clinical scoring which was done every 3 days, cytokine levels, and myelination level. RESULTS: The results confirmed the presence of cyclotides in V. odorata based on their retention time and the composition of mobile phase in HPLC and the molecular weight of the peaks in MALDI-TOF analysis. It was observed that cyclotides, especially in the 80% fraction group at the dose of 50 mg/kg significantly reduced the clinical scores, inflammation, and demyelination in EAE mice compared with the normal saline group (P<0.05), and the results of this group were comparable with fingolimod (P>0.05). CONCLUSION: It could be concluded that V. odorata is a rich source of cyclotides which they could be extracted by an easily available process and also, they could be used as immunomodulatory agents in MS, with similar effects to fingolimod.",10.1016/j.msard.2022.103958,no,NA,IEB,1,NA,EAE,mouse,C57BL/6,female,7,Fingolimod,control,1,50,1,0.5,4,NA,1.8,4,0.45,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,variance measure for all groups (in same graph) except fingolimod...,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
103,"de Bruin, N. M. and Schmitz, K. and Schiffmann, S. and Tafferner, N. and Schmidt, M. and Jordan, H. and H<c3><a4>u<c3><9f>ler, A. and Tegeder, I. and Geisslinger, G. and Parnham, M. J.",2016,Behav Brain Res,Multiple rodent models and behavioral measures reveal unexpected responses to FTY720 and DMF in experimental autoimmune encephalomyelitis,"Experimental autoimmune encephalomyelitis (EAE) is a widely-used rodent model for multiple sclerosis (MS), but a single model can hardly capture all features of MS. We investigated whether behavioral parameters in addition to clinical motor function scores could be used to assess treatment efficacy during score-free intervals in the relapsing-remitting EAE model in SJL/J mice. We studied the effects of the clinical reference compounds FTY720 (fingolimod, 0.5mg/kg/day) and dimethyl fumarate (DMF, 20-30 mg/kg/day) on clinical scores in several rodent EAE models in order to generate efficacy profiles. SJL/J mice with relapsing-remitting EAE were studied using behavioral tests, including rotarod, gait analysis, locomotor activity and grip strength. SJL/J mice were also examined according to Crawley's sociability and preference for social novelty test. Prophylactic treatment with FTY720 prevented clinical scores in three of the four EAE rodent models: Dark Agouti (DA) and Lewis rats and C57BL/6J mice. Neither prophylactic nor late-therapeutic treatment with FTY720 reduced clinical scores or reversed deficits in the rotarod test in SJL/J mice, but we observed effects on motor functions and sociability in the absence of clinical scores. Prophylactic treatment with FTY720 improved the gait of SJL/J mice whereas late-therapeutic treatment improved manifestations of reduced social (re)cognition or preference for social novelty. DMF was tested in three EAE models and did not improve clinical scores at the dose used. These data indicate that improvements in behavioral deficits can occur in absence of clinical scores, which indicate subtle drug effects and may have translational value for human MS.",10.1016/j.bbr.2015.12.006,no,NA,IEB,1,NA,EAE,mouse,"C57BL/6, SJL",female,"8,11",Fingolimod,control,1,NA,2,0,8,0,0.5,15,0.35,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,Fingolimod eae score was extracted from experiment with SJL/J mice (only graph where therapeutic treatment regimen is shown) and DMF eae score was extracted from experiment with C57BL/6 mice (largest effect size),Dimethyl fumarate,3,1,0.65,8,0.35,1.5,8,0.55,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,Marketed
104,"de Oliveira, L. R. C. and Mimura, L. A. N. and Fraga-Silva, T. F. C. and Ishikawa, L. L. W. and Fernandes, A. A. H. and Zorzella-Pezavento, S. F. G. and Sartori, A.",2020,Front Pharmacol,Calcitriol Prevents Neuroinflammation and Reduces Blood-Brain Barrier Disruption and Local Macrophage/Microglia Activation,"Multiple sclerosis (MS) is a progressive disease of the central nervous system (CNS) that involves damage to the myelin sheath surrounding axons. MS therapy is based on immunomodulatory drugs that reduce disease recurrence and severity. Vitamin D is a hormone whose immunomodulatory ability has been widely demonstrated, including in experimental autoimmune encephalomyelitis (EAE), which is an animal model of CNS inflammation. In this study, we evaluated the potential of very early intervention with the active form of vitamin D (1,25-dihydroxyvitamin D3) to control neuroinflammation during EAE development. EAE was induced in C57BL/6J mice and 1,25-dihydroxyvitamin D3 administration began 1 day after disease induction. This procedure decreased prevalence, clinical score, inflammation, and demyelination. It also reduced MHCII expression in macrophages and microglia as well as the level of oxidative stress and messenger RNA (mRNA) expression for NLRP3, caspase-1, interleukin (IL)-1<ce><b2>, CX(3)CR1, CCL17, RORc and Tbx21 at the CNS. Otherwise, mRNA expression for ZO-1 increased at the lumbar spinal cord. These effects were accompanied by the stabilization of blood-spinal cord barrier permeability. The results of this study indicate that early intervention with 1,25-dihydroxyvitamin D3 can control the neuroinflammatory process that is the hallmark of EAE and MS immunopathogenesis and should thus be explored as an adjunct therapy for MS patients.",10.3389/fphar.2020.00161,no,NA,IEB,1,NA,EAE,mouse,C57BL/6,female,9,Vitamin D3,control,1,NA,1,0.25,21,0.15,3.4,3,0.65,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Failed,NA
105,"Deloire, M. S. and Touil, T. and Brochet, B. and Dousset, V. and Caill<c3><a9>, J. M. and Petry, K. G.",2004,Mult Scler,Macrophage brain infiltration in experimental autoimmune encephalomyelitis is not completely compromised by suppressed T-cell invasion: in vivo magnetic resonance imaging illustration in effective anti-VLA-4 antibody treatment,"Large inflammatory infiltrates of T cells, macrophages and B cells in the central nervous system (CNS) contribute to the pathogenesis of multiple sclerosis (MS). The passage of T cells through the blood-brain barrier can be suppressed with antibodies directed against alpha-4 integrins (VLA-4) that mediate T-cell adherence. This treatment, in phase III of clinical trial evaluation, reduces lesion development in MS patients. In the ongoing inflammatory disease process the consequences of T-cell inhibitory anti-VLA-4 antibodies on inflammatory compounds are still poorly investigated. We show that anti-VLA-4 antibody treatment during the late preclinical phase of the acute experimental autoimmune encephalomyelitis (EAE) MS rat model interrupts T-cell egress out of the vascular compartment and suppresses clinical disease and histological alterations but macrophage recruitment in the CNS is not fully compromised. Among the treated EAE animals not developing disease, none presented foci of T-cell infiltration in CNS. However, in 75% of the treated EAE rats monocyte ingress in CNS was observed in vivo by magnetic resonance imaging with the ultrasmall superparamagnetic iron oxide contrast agent. Our data shed new light on the role of remaining macrophage brain infiltration in an induced but interrupted T-cell-mediated EAE disease process.",10.1191/1352458504ms1090oa,no,NA,IEB,1,NA,EAE,rat,Lewis,female,6.5,Natalizumab,control,1,NA,1,0.4,8,0.5,2.3,7,1.6,"mean, SD",5.76,8,5.17,16.76,7,7.83,"mean, SD",brain volume,"Natalizumab is also a anti-VLA-4 antibody; EAE score values --> taken from a table showing maximum clinical score, not necessarily largest effect size (since no such graph was available); MRI volume: ""MRI volume indicates the volume in mm3 of MRI signal alterations determined on T1 wi sagittal slices per animal (mean (SD))""; MRI load: ""MRI load indicates the number of positive MRI signal alterations per animal (mean (SD))""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,8,2.2,3.43,7,2.2,"mean, SD",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rat,Marketed,NA
106,"Demir, S. and Heckers, S. and Pedreiturria, X. and Hess, D. and Trampe, A. K. and Chan, A. and Gold, R.",2015,Journal of Neuroimmunology,Low dose fumaric acid esters are effective in a mouse model of spontaneous chronic encephalomyelitis,"In this study we examined the role of fumaric acid esters (FAE) in a spontaneous and chronic animal model, the opticospinal EAE (OSE). Preventive treatment of dimethylfumarate (DMF) promotes onset of disease in animals treated with high dose DMF. This group also exhibited a significantly exacerbated disease course in a therapeutic treatment as compared to the low dose DMF approach, where less demyelination, macrophage infiltration, and increased Nrf2 expression in the spinal cord were observed. We conclude that low dose DMF treatment is effective in the therapy of the spontaneous opticospinal EAE model and mediates neuroprotective effects via the oxidative stress response pathway.",10.1016/j.jneuroim.2015.05.010,no,NA,IEB,1,NA,OSE,mouse,TCRMOGxIgHMOG,NA,NA,Dimethyl fumarate,control,1,NA,"1,2",4.55,20,0.45,6,19,0.4,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,"higher dose of DMF was extracted, but lower dose had larger effect size  (highest DMF dose has been extracted);  mouse model: Transgenic 2D2 mice harboring a MOG35–55 specific T-cell receptor. IgHMOG mice, also referred to as Th mice which contain MOG specific B cells. All mice were backcrossed to the C57BL/6 background for more than 10 generations. --> spontaneous and chronic animal model, the opticospinal EAE (OSE)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
107,"Demir, S. and Pitarokoili, K. and Linker, R. and Gold, R.",2019,J Neuroimmunol,Immune cell derived BDNF does not mediate neuroprotection of the murine anti-CD52 antibody in a chronic autoimmune mouse model,"The murine anti-CD52 antibody, an equivalent of the humanized antibody alemtuzumab, which is successfully used in the treatment of multiple sclerosis, was used to explore a potential neuroprotective effect driven by immune cell derived brain-derived neurotrophic factor (BDNF). Therefore, lineage specific constitutive knock-out mice with a BDNF deficiency in T cells and macrophages were used and compared to treated wildtype mice. Neither therapeutic nor preventive application of the murine anti-CD52 antibody in an animal model of multiple sclerosis, the MOG(35-55) EAE, revealed a beneficial contribution of immune cell derived BDNF to the disease outcome. Furthermore, preventive application of the murine anti-CD52 antibody worsened the clinical EAE disease course and could only be overcome by a prolonged recovery phase after treatment and before disease induction.",10.1016/j.jneuroim.2018.12.010,no,NA,IEB,1,NA,EAE,mouse,C57BL/6,NA,NA,Alemtuzumab,control,3,NA,"0,2",1.1,25,0.35,4.6,22,0.65,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,drug was called murine anti-CD52 antibody (synonym for Alemtuzumab?),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
108,"Deng, H. and Bernier, S. G. and Doyle, E. and Lorusso, J. and Morgan, B. A. and Westlin, W. F. and Evindar, G.",2013,ACS Med Chem Lett,Discovery of Clinical Candidate GSK1842799 As a Selective S1P1 Receptor Agonist (Prodrug) for Multiple Sclerosis,"To develop effective oral treatment for multiple sclerosis (MS), we discovered a series of alkyl-substituted biaryl amino alcohols as selective S1P1 modulators. One exemplar is (S)-2-amino-2-(5-(4-(octyloxy)-3-(trifluoromethyl)phenyl)-1,3,4-thiadiazol-2-yl)propan-1-ol (10, GSK1842799). Upon phosphorylation, the compound (10-P) showed subnanomole S1P1 agonist activity with >1000<c3><97> selectivity over S1P3. The alcohol 10 demonstrated good oral bioavailability and rapid in vivo conversion to 10-P. Dosed orally at 0.1 mg/kg, 10 significantly reduced blood lymphocyte counts 6 h postdose, and at 3 mg/kg, 10 achieved efficacy equivalent to FTY720 in the mouse EAE model of MS. Further pharmacokinetic/pharmacodynamic (PK/PD) study with cynomolgus monkeys indicated that, after oral dosing of 10 at 3.8 mg/kg, the active phosphate reached plasma levels that are comparable to FTY-720 phosphate (FTY-P) revealed in human clinical pharmacokinetics studies. On the basis of the favorable in vitro ADME and in vivo PK/PD properties as well as broad toxicology evaluations, compound 10 (GSK1842799) was selected as a candidate for further clinical development.",10.1021/ml400194r,no,NA,IEB,1,NA,EAE,mouse,C57BL/6,female,8,Fingolimod,control,1,NA,2,0,NA,0,2.15,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
109,"Di Dario, M. and Colombo, E. and Govi, C. and De Feo, D. and Messina, M. J. and Romeo, M. and Sangalli, F. and Moiola, L. and Rodegher, M. and Martino, G. and Martinelli, V. and Comi, G. and Farina, C.",2015,Neurol Neuroimmunol Neuroinflamm,Myeloid cells as target of fingolimod action in multiple sclerosis,"OBJECTIVE: To track the effects of fingolimod, an approved drug for multiple sclerosis (MS), on the activation of myeloid cells from the periphery to the CNS. METHODS: In vitro and ex vivo immunologic studies coupled with flow cytometry were performed to evaluate the action of fingolimod on lipopolysaccharide (LPS)-induced expression of activation markers in human monocytes from healthy participants, participants with untreated MS, and participants with fingolimod-treated MS. In vivo administration of fingolimod during experimental autoimmune encephalomyelitis (EAE) was established to verify the activation state of splenic, CNS infiltrating, and CNS resident myeloid cells ex vivo at flow cytometer. RESULTS: We found that in vitro exposure of human monocytes to fingolimod inhibited LPS-induced CD25 and CD150 expression and tumor necrosis factor-<ce><b1> (TNF-<ce><b1>) secretion without altering immune cell survival. Further, EAE treatment with fingolimod led to reduced amounts of TNF-<ce><b1> produced by myeloid cells in vivo in the spleen and CNS. Finally, while displaying normal induction of CD25 and CD150 levels at high LPS concentration, monocytes from patients with fingolimod-treated MS showed significantly higher activation threshold at suboptimal LPS stimulation than controls. CONCLUSIONS: The inhibition of myeloid cell activation may be part of the immunosuppressive action of fingolimod and take place in the periphery and in the CNS.",10.1212/nxi.0000000000000157,no,NA,IEB,1,NA,EAE,mouse,C57BL/6,female,7,Fingolimod,control,1,NA,2,1.55,13,0.25,2.05,12,0.15,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
110,"Dietrich, M. and Hecker, C. and Martin, E. and Langui, D. and Gliem, M. and Stankoff, B. and Lubetzki, C. and Gruchot, J. and G<c3><b6>ttle, P. and Issberner, A. and Nasiri, M. and Ramseier, P. and Beerli, C. and Tisserand, S. and Beckmann, N. and Shimshek, D. and Petzsch, P. and Akbar, D. and Levkau, B. and Stark, H. and K<c3><b6>hrer, K. and Hartung, H. P. and K<c3><bc>ry, P. and Meuth, S. G. and Bigaud, M. and Zalc, B. and Albrecht, P.",2022,Neurol Neuroimmunol Neuroinflamm,Increased Remyelination and Proregenerative Microglia Under Siponimod Therapy in Mechanistic Models,"BACKGROUND AND OBJECTIVES: Siponimod is an oral, selective sphingosine-1-phosphate receptor-1/5 modulator approved for treatment of multiple sclerosis. METHODS: Mouse MRI was used to investigate remyelination in the cuprizone model. We then used a conditional demyelination Xenopus laevis model to assess the dose-response of siponimod on remyelination. In experimental autoimmune encephalomyelitis-optic neuritis (EAEON) in C57Bl/6J mice, we monitored the retinal thickness and the visual acuity using optical coherence tomography and optomotor response. Optic nerve inflammatory infiltrates, demyelination, and microglial and oligodendroglial differentiation were assessed by immunohistochemistry, quantitative real-time PCR, and bulk RNA sequencing. RESULTS: An increased remyelination was observed in the cuprizone model. Siponimod treatment of demyelinated tadpoles improved remyelination in comparison to control in a bell-shaped dose-response curve. Siponimod in the EAEON model attenuated the clinical score, reduced the retinal degeneration, and improved the visual function after prophylactic and therapeutic treatment, also in a bell-shaped manner. Inflammatory infiltrates and demyelination of the optic nerve were reduced, the latter even after therapeutic treatment, which also shifted microglial differentiation to a promyelinating phenotype. DISCUSSION: These results confirm the immunomodulatory effects of siponimod and suggest additional regenerative and promyelinating effects, which follow the dynamics of a bell-shaped curve with high being less efficient than low concentrations.",10.1212/nxi.0000000000001161,no,NA,IEB,1,NA,"EAE, cuprizone",mouse,C57BL/6,female,6,Siponimod,control,1,NA,"1,2",0.9,NA,0.3,1.7,NA,0.6,"mean, SEM",0.54,7,0.01,0.52,7,5.00E-03,"mean, SEM",MTR,"animal models used in publication: mouse, Xenopus laevis Tadpoles (for EAE, cuprizone, MRI data --> mice were used); EAE score from EAE model, MRI data based on cuprizone model",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,7,1.5,89,7,0,"mean, SEM",T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
111,"Dietrich, M. and Koska, V. and Hecker, C. and G<c3><b6>ttle, P. and Hilla, A. M. and Heskamp, A. and Lepka, K. and Issberner, A. and Hallenberger, A. and Baksmeier, C. and Steckel, J. and Balk, L. and Knier, B. and Korn, T. and Havla, J. and Mart<c3><ad>nez-Lapiscina, E. H. and Sol<c3><a0>-Valls, N. and Manogaran, P. and Olbert, E. D. and Schippling, S. and Cruz-Herranz, A. and Yiu, H. and Button, J. and Caldito, N. G. and von Gall, C. and Mausberg, A. K. and Stettner, M. and Zimmermann, H. G. and Paul, F. and Brandt, A. U. and K<c3><bc>ry, P. and Goebels, N. and Aktas, O. and Berndt, C. and Saidha, S. and Green, A. J. and Calabresi, P. A. and Fischer, D. and Hartung, H. P. and Albrecht, P.",2020,Brain,Protective effects of 4-aminopyridine in experimental optic neuritis and multiple sclerosis,"Chronic disability in multiple sclerosis is linked to neuroaxonal degeneration. 4-aminopyridine (4-AP) is used and licensed as a symptomatic treatment to ameliorate ambulatory disability in multiple sclerosis. The presumed mode of action is via blockade of axonal voltage gated potassium channels, thereby enhancing conduction in demyelinated axons. In this study, we provide evidence that in addition to those symptomatic effects, 4-AP can prevent neuroaxonal loss in the CNS. Using in vivo optical coherence tomography imaging, visual function testing and histologic assessment, we observed a reduction in retinal neurodegeneration with 4-AP in models of experimental optic neuritis and optic nerve crush. These effects were not related to an anti-inflammatory mode of action or a direct impact on retinal ganglion cells. Rather, histology and in vitro experiments indicated 4-AP stabilization of myelin and oligodendrocyte precursor cells associated with increased nuclear translocation of the nuclear factor of activated T cells. In experimental optic neuritis, 4-AP potentiated the effects of immunomodulatory treatment with fingolimod. As extended release 4-AP is already licensed for symptomatic multiple sclerosis treatment, we performed a retrospective, multicentre optical coherence tomography study to longitudinally compare retinal neurodegeneration between 52 patients on continuous 4-AP therapy and 51 matched controls. In line with the experimental data, during concurrent 4-AP therapy, degeneration of the macular retinal nerve fibre layer was reduced over 2 years. These results indicate disease-modifying effects of 4-AP beyond symptomatic therapy and provide support for the design of a prospective clinical study using visual function and retinal structure as outcome parameters.",10.1093/brain/awaa062,no,NA,IEB,1,NA,EAE,mouse,C57BL/6,female,NA,Fampridine,control,1,NA,"0,1,2",1.4,12,0.3,3.2,12,0.2,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,Fingolimod,1,0,0.4,12,0.25,2.2,12,0.35,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,Marketed
112,"Djedovi<c4><87>, N. and Stanisavljevic, S. and Jevti<c4><87>, B. and Mom<c4><8d>ilovi<c4><87>, M. and Lavrnja, I. and Miljkovi<c4><87>, D.",2017,Biomed Pharmacother,Anti-encephalitogenic effects of ethyl pyruvate are reflected in the central nervous system and the gut,"Ethyl pyruvate is a redox analogue of dimethyl fumarate (Tecfidera), a drug for multiple sclerosis treatment. We have recently shown that ethyl pyruvate ameliorates experimental autoimmune encephalomyelitis (EAE), an animal model of multiple sclerosis. It affects encephalitogenic T cells and macrophages in vitro, as well as in lymph nodes draining the site of encephalitogenic immunization and within the central nervous system (CNS). Here, in vivo effects of ethyl pyruvate on EAE are thoroughly investigated in the CNS and within the gut associated lymphoid tissue. Ethyl pyruvate reduced infiltrates within the CNS and number of activated macrophages/microglia (ED1(+)/Iba1(+)) and proliferating astrocytes (GFAP(+)). Furthermore, it reduced expression of HMGB1 in activated macrophages/microglia. It also reduced number of activated T cells and antigen-presenting cells and expression of Th1/Th17-related molecules in mesenteric lymph nodes and Peyer's patches. These results contribute to our understanding of anti-encephalitogenic effects of ethyl pyruvate as they provide evidence of its effects within the CNS and imply that these effects are related to reduction of inflammatory immune response in gut associated lymphoid tissue.",10.1016/j.biopha.2017.09.110,no,NA,IEB,1,NA,EAE,rat,Dark Agouti,female,12,Dimethyl fumarate,control,1,NA,1,0.75,15,0.1,2.75,15,0.17,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,"redox analogue of dimethyl fumarate (Tecfidera) --> is listed as synonym of DMF in our excel sheet, therefore drug name written here: dimethyl fumarate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rat,Marketed,NA
113,"Doolen, S. and Iannitti, T. and Donahue, R. R. and Shaw, B. C. and Grachen, C. M. and Taylor, B. K.",2018,Pain,Fingolimod reduces neuropathic pain behaviors in a mouse model of multiple sclerosis by a sphingosine-1 phosphate receptor 1-dependent inhibition of central sensitization in the dorsal horn,"Multiple sclerosis (MS) is an autoimmune-inflammatory neurodegenerative disease that is often accompanied by a debilitating neuropathic pain. Disease-modifying agents slow down the progression of multiple sclerosis and prevent relapses, yet it remains unclear if they yield analgesia. We explored the analgesic potential of fingolimod (FTY720), an agonist and/or functional antagonist at the sphingosine-1-phosphate receptor 1 (S1PR1), because it reduces hyperalgesia in models of peripheral inflammatory and neuropathic pain. We used a myelin oligodendrocyte glycoprotein 35 to 55 (MOG35-55) mouse model of experimental autoimmune encephalomyelitis, modified to avoid frank paralysis, and thus, allow for assessment of withdrawal behaviors to somatosensory stimuli. Daily intraperitoneal fingolimod reduced behavioral signs of central neuropathic pain (mechanical and cold hypersensitivity) in a dose-dependent and reversible manner. Both autoimmune encephalomyelitis and fingolimod changed hyperalgesia before modifying motor function, suggesting that pain-related effects and clinical neurological deficits were modulated independently. Fingolimod also reduced cellular markers of central sensitization of neurons in the dorsal horn of the spinal cord: glutamate-evoked Ca signaling and stimulus-evoked phospho-extracellular signal-related kinase ERK (pERK) expression, as well as upregulation of astrocytes (GFAP) and macrophage/microglia (Iba1) immunoreactivity. The antihyperalgesic effects of fingolimod were prevented or reversed by the S1PR1 antagonist W146 (1 mg/kg daily, i.p.) and could be mimicked by either repeated or single injection of the S1PR1-selective agonist SEW2871. Fingolimod did not change spinal membrane S1PR1 content, arguing against a functional antagonist mechanism. We conclude that fingolimod behaves as an S1PR1 agonist to reduce pain in multiple sclerosis by reversing central sensitization of spinal nociceptive neurons.",10.1097/j.pain.0000000000001106,no,NA,IEB,1,NA,EAE,mouse,C57BL/6,female,8,Fingolimod,control,1,144,2,0.65,5.5,0.25,2.85,5.5,0.15,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
