"","subset_sensitivity","DOI","Column1","Author","Year.x","Journal","Title","Abstract","exclude_duplicate_study","Link","Extracted.by","Included","Reason.for.exclusion","Animal.model","Species","Strain","Sex.x","Age","Tested.drug.s.","Comparator","Outcome","Total.number.of.animals","Treatment.regimen","EAE_1_drug_mean","EAE_1_drug_n","EAE_1_drug_var","EAE_1_con_mean","EAE_1_con_n","EAE_1_con_var","EAE_1_data_type","MRI_1_drug_mean","MRI_1_drug_n","MRI_1_drug_var","MRI_1_con_mean","MRI_1_con_n","MRI_1_con_var","MRI_1_data_type","MRI.Outcome...36","Comment","Tested.drug.2","Outcome.drug.2","Treatment.regimen.drug.2...67","EAE_2_drug_mean","EAE_2_drug_n","EAE_2_drug_var","EAE_2_con_mean","EAE_2_con_n","EAE_2_con_var","EAE_2_data_type","...75","Tested.drug.3","Treatment.regimen.drug.2...77","EAE_3_drug_mean","EAE_3_drug_n","EAE_3_drug_var","EAE_3_con_mean","EAE_3_con_n","EAE_3_con_var","EAE_3_data_type","...85","MRI_2_drug_mean","MRI_2_drug_n","MRI_2_drug_var","MRI_2_con_mean","MRI_2_con_n","MRI_2_con_var","MRI_2_data_type","MRI.Outcome...93","...94","MRI_3_drug_mean","MRI_3_drug_n","MRI_3_drug_var","MRI_3_con_mean","MRI_3_con_n","MRI_3_con_var","MRI_3_data_type","MRI.Outcome...102","MRI_4_drug_mean","MRI_4_drug_n","MRI_4_drug_var","MRI_4_con_mean","MRI_4_con_n","MRI_4_con_var","MRI_4_data_type","MRI.Outcome...110","Species_in_study","status","status2","SYRCLE_allocation","SYRCLE_baselinegroups","SYRCLE_allocationconcealment","SYRCLE_randomhousing","SYRCLE_blindingcaregiver","SYRCLE_randomassessment","SYRCLE_blindingassessor","SYRCLE_incompleteoutcome","SYRCLE_selectivereporting","SYRCLE_other","First.author","Year.y","Paper.title","Model.1","Model.count.1","Model.2","Model.count.2","Species.1","Species.count.1","Species.2","Species.count.2","Sex.y","Outcome.histology","Outcome.behaviour","Outcome.imaging","Randomization","Randomization_QC","Blinding","Blinding_QC","Welfare","Welfare_QC","Conflict","Conflict_QC","Samplesize","Sample_QC","ARRIVE","ARRIVE_QC","Data_availability_statement","doi","email","Abstract.start","Introduction.start","Methods.start","Results.start","Discussion.start","Methods.range","Paper.range"
"66","rand","103389fimmu201801622",230,"Krementsov, D. N. and Asarian, L. and Fang, Q. and McGill, M. M. and Teuscher, C.",2018,"Front Immunol","Sex-Specific Gene-by-Vitamin D Interactions Regulate Susceptibility to Central Nervous System Autoimmunity","Vitamin D3 (VitD) insufficiency is postulated to represent a major modifiable risk factor for multiple sclerosis (MS). While low VitD levels strongly correlate with higher MS risk in white populations, this is not the case for other ethnic groups, suggesting the existence of a genetic component. Moreover, VitD supplementation studies in MS so far have not shown a consistent benefit. We sought to determine whether direct manipulation of VitD levels modulates central nervous system autoimmune disease in a sex-by-genotype-dependent manner. To this end, we used a dietary model of VitD modulation, together with the autoimmune animal model of MS, experimental autoimmune encephalomyelitis (EAE). To assess the impact of genotype-by-VitD interactions on EAE susceptibility, we utilized a chromosome substitution (consomic) mouse model that incorporates the genetic diversity of wild-derived PWD/PhJ mice. High VitD was protective in EAE in female, but not male C57BL/6J (B6) mice, and had no effect in EAE-resistant PWD/PhJ (PWD) mice. EAE protection was accompanied by sex- and genotype-specific suppression of proinflammatory transcriptional programs in CD4 T effector cells, but not CD4 regulatory T cells. Decreased expression of proinflammatory genes was observed with high VitD in female CD4 T effector cells, specifically implicating a key role of MHC class II genes, interferon gamma, and Th1<e2><80><89>cell-mediated neuroinflammation. In consomic strains, effects of VitD on EAE were also sex- and genotype dependent, whereby high VitD: (1) was protective, (2) had no effect, and (3) unexpectedly had disease-exacerbating effects. Systemic levels of 25(OH)D differed across consomic strains, with higher levels associated with EAE protection only in females. Analysis of expression of key known VitD metabolism genes between B6 and PWD mice revealed that their expression is genetically determined and sex specific and implicated Cyp27b1 and Vdr as candidate genes responsible for differential EAE responses to VitD modulation. Taken together, our results support the observation that the association between VitD status and MS susceptibility is genotype dependent and suggest that the outcome of VitD status in MS is determined by gene-by-sex interactions.","no",NA,"WZ",1,NA,"EAE","mouse","C57BL/6, PWD, C57BL/6.ChrPWD","both","9","Vitamin D3","control",1,209,"0",1.3,24,0.3,1.9,33,0.3,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,"Scores obtained from B6 strain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mouse","Failed",NA,"","","","","","","","","","",NA,NA,NA,"EAE","55","not reported","0","mice","19","mouse","1","female and male","not reported","not reported","not reported","yes","No manual check required","not reported","No manual check required","not reported","No manual check required","yes","Manual check recommended","yes","Manual check recommended","not reported","No manual check required","not reported",NA,"c(""dkrement@uvm.edu"", ""c.teuscher@uvm.edu"")","1","64","209","55","464","209 - 464","1 - 1082"
"67","rand","103389fimmu2020603029",392,"Song, J. Y. and Griffin, J. D. and Larson, N. R. and Christopher, M. A. and Middaugh, C. R. and Berkland, C. J.",2020,"Front Immunol","Synthetic Cationic Autoantigen Mimics Glatiramer Acetate Persistence at the Site of Injection and Is Efficacious Against Experimental Autoimmune Encephalomyelitis","A synthetic peptide, K-PLP, consisting of 11-unit poly-lysine (K11) linked via polyethylene glycol (PEG) to proteolipid protein epitope (PLP) was synthesized, characterized, and evaluated for efficacy in ameliorating experimental autoimmune encephalomyelitis (EAE) induced by PLP. K-PLP was designed to mimic the cationic nature of the relapsing-remitting multiple sclerosis treatment, glatiramer acetate (GA). With a pI of ~10, GA is able to form visible aggregates at the site of injection via electrostatic interactions with the anionic extracellular matrix. Aggregation further facilitates the retention of GA at the site of injection and draining lymph nodes, which may contribute to its mechanism of action. K-PLP with a pI of ~11, was found to form visible aggregates in the presence of glycosaminoglycans and persist at the injection site and draining lymph nodes in vivo, similar to GA. Additionally, EAE mice treated with K-PLP showed significant inhibition of clinical symptoms compared to free poly-lysine and to PLP, which are the components of K-PLP. The ability of the poly-lysine motif to retain PLP at the injection site, which increased the local exposure of PLP to immune cells may be an important factor affecting drug efficacy.","no",NA,"PH",1,NA,"EAE","mouse","SJL","female","5","Glatiramer acetate","control",1,NA,"1",2.4,6,1.4,1,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mouse","Marketed",NA,"","","","","","","","","","",NA,NA,NA,"EAE","8","experimental autoimmune encephalomyelitis","1","mice","13","mouse","4","female","not reported","behaviour","not reported","yes","Manual check recommended","not reported","No manual check required","yes","Manual check recommended","yes","Manual check recommended","not reported","No manual check required","not reported","No manual check required","yes",NA,"berkland@ku.edu","1","64","130","108","532","130 - 532","1 - 795"
"68","rand","103389fimmu2021655212",327,"Parodi, B. and Sanna, A. and Cedola, A. and Uccelli, A. and Kerlero de Rosbo, N.",2021,"Front Immunol","Hydroxycarboxylic Acid Receptor 2, a Pleiotropically Linked Receptor for the Multiple Sclerosis Drug, Monomethyl Fumarate. Possible Implications for the Inflammatory Response","Monomethyl fumarate (MMF), metabolite of dimethyl fumarate (DMF), an immunosuppressive drug approved for the treatment of multiple sclerosis (MS), is a potent agonist for hydroxycarboxylic acid receptor 2 (HCAR2), eliciting signals that dampen cell activation or lead to inflammation such as the skin flushing reaction that is one of the main side effects of the treatment, together with gastrointestinal inflammation. Our aim is to further understand the molecular basis underlying these differential effects of the drug. We have used wild-type and HCAR2 knock-out mice to investigate, in vitro and ex vivo under steady-state and pathological conditions, the HCAR2-mediated signaling pathways activated by MMF in dendritic cells (DC), which promote differentiation of T cells, and in intestinal epithelial cells (IEC) where activation of a pro-inflammatory pathway, such as the cyclooxygenase-2 pathway involved in skin flushing, could underlie gastrointestinal side effects of the drug. To understand how DMF treatment might impact on gut inflammation induced by experimental autoimmune encephalomyelitis (EAE), the animal model for MS, we have used 3D X-ray phase contrast tomography and flow cytometry to monitor possible intestinal alterations at morphological and immunological levels, respectively. We show that HCAR2 is a pleiotropically linked receptor for MMF, mediating activation of different pathways leading to different outcomes in different cell types, depending on experimental in-vitro and in-vivo conditions. In the small intestine of EAE-affected mice, DMF treatment affected migration of tolerogenic DC from lamina propria to mesenteric lymph nodes, and/or reverted their profile to pro-inflammatory, probably as a result of reduced expression of aldehyde dehydrogenase and transforming growth factor beta as well as the inflammatory environment. Nevertheless, DMF treatment did not amplify the morphological alterations induced by EAE. On the basis of our further understanding of MMF signaling through HCAR2, we suggest that the pleiotropic signaling of fumarate via HCAR2 should be addressed for its pharmaceutical relevance in devising new lead compounds with reduced inflammatory side effects.","no",NA,"PH",1,NA,"EAE","mouse","C57BL/6","female","7","Dimethyl fumarate","control",1,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mouse","Marketed",NA,"","","","","","","","","","",NA,NA,NA,"EAE","93","lipopolysaccharide","2","mice","128","mouse","7","female","histology","behaviour","not reported","yes","No manual check required","not reported","No manual check required","yes","Manual check recommended","yes","Manual check recommended","not reported","No manual check required","not reported","No manual check required","yes",NA,"benedetta.parod@gmail.com","1","63","89","398","778","89 - 778","1 - 1372"
"69","rand","103389fimmu20221036200",257,"Mar<c3><ad>n-Prida, J. and Pav<c3><b3>n-Fuentes, N. and Lagumersindez-Denis, N. and Camacho-Rodr<c3><ad>guez, H. and Garc<c3><ad>a-Soca, A. M. and Sarduy-Ch<c3><a1>vez, R. C. and Vieira <c3><89>, L. M. and Carvalho-Tavares, J. and Falc<c3><b3>n-Cama, V. and Fern<c3><a1>ndez-Mass<c3><b3>, J. R. and Hern<c3><a1>ndez-Gonz<c3><a1>lez, I. and Mart<c3><ad>nez-Donato, G. and Guill<c3><a9>n-Nieto, G. and Pent<c3><b3>n-Arias, E. and Teixeira, M. M. and Pent<c3><b3>n-Rol, G.",2022,"Front Immunol","Anti-inflammatory mechanisms and pharmacological actions of phycocyanobilin in a mouse model of experimental autoimmune encephalomyelitis: A therapeutic promise for multiple sclerosis","Cytokines, demyelination and neuroaxonal degeneration in the central nervous system are pivotal elements implicated in the pathogenesis of multiple sclerosis (MS) and its nonclinical model of experimental autoimmune encephalomyelitis (EAE). Phycocyanobilin (PCB), a chromophore of the biliprotein C-Phycocyanin (C-PC) from Spirulina platensis, has antioxidant, immunoregulatory and anti-inflammatory effects in this disease, and it could complement the effect of other Disease Modifying Treatments (DMT), such as Interferon-<ce><b2> (IFN-<ce><b2>). Here, our main goal was to evaluate the potential PCB benefits and its mechanisms of action to counteract the chronic EAE in mice. MOG(35-55)-induced EAE was implemented in C57BL/6 female mice. Clinical signs, pro-inflammatory cytokines levels by ELISA, qPCR in the brain and immunohistochemistry using precursor/mature oligodendrocytes cells antibodies in the spinal cord, were assessed. PCB enhanced the neurological condition, and waned the brain concentrations of IL-17A and IL-6, pro-inflammatory cytokines, in a dose-dependent manner. A down- or up-regulating activity of PCB at 1 mg/kg was identified in the brain on three (LINGO1, NOTCH1, and TNF-<ce><b1>), and five genes (MAL, CXCL12, MOG, OLIG1, and NKX2-2), respectively. Interestingly, a reduction of demyelination, active microglia/macrophages density, and axonal damage was detected along with an increase in oligodendrocyte precursor cells and mature oligodendrocytes, when assessed the spinal cords of EAE mice that took up PCB. The studies in vitro in rodent encephalitogenic T cells and in vivo in the EAE mouse model with the PCB/IFN-<ce><b2> combination, showed an enhanced positive effect of this combined therapy. Overall, these results demonstrate the anti-inflammatory activity and the protective properties of PCB on the myelin and support its use with IFN-<ce><b2> as an improved DMT combination for MS.","no",NA,"WZ",1,NA,"EAE","mouse","C57BL/6","female","9","Interferon Beta 1","control",1,70.5,"1,2",2,9.5,0.2,2.4,9.5,0.4,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mouse","Marketed",NA,"","","","","","","","","","",NA,NA,NA,"EAE","55","not reported","0","mice","51","rat","7","female","histology","behaviour","not reported","yes","No manual check required","not reported","No manual check required","yes","Manual check recommended","yes","Manual check recommended","not reported","No manual check required","not reported","No manual check required","yes",NA,"giselle.penton@cigb.edu.cu","1","103","140","97","566","140 - 566","1 - 1299"
"70","rand","103389fncel2022921916",179,"Hoelz, A. G. and Bernardes, D. and Cartarozzi, L. P. and de Oliveira, A. L. R.",2022,"Front Cell Neurosci","Gliosis attenuation in experimental autoimmune encephalomyelitis by a combination of dimethyl fumarate and pregabalin","Dysregulated microglia and astrocytes have been associated with progressive neurodegeneration in multiple sclerosis (MS), highlighting the need for strategies that additionally target intrinsic inflammation in the central nervous system (CNS). The objective of the present study was to investigate the glial response in experimental autoimmune encephalomyelitis (EAE)-induced mice treated with a combination of dimethyl fumarate (DMF) and pregabalin (PGB). For that, 28 C57BL/6J mice were randomly assigned to the five experimental groups: na<c3><af>ve, EAE, EAE-DMF, EAE-PGB, and EAE-DMF + PGB. Pharmacological treatments were initiated with the beginning of clinical signs, and all animals were euthanized at 28 dpi for the lumbar spinal cord evaluation. The results demonstrated a stronger attenuation of the clinical presentation by the combined approach. DMF alone promoted the downregulation of Iba-1 (microglia/macrophages marker) in the ventral horn compared with the non-treated EAE animals (P < 0.05). PGB treatment was associated with reduced Iba-1 immunofluorescence in both the dorsal (P < 0.05) and ventral horn (P < 0.05) compared to EAE vehicle-treated counterparts. However, the combined approach reduced the Iba-1 marker in the dorsal (P < 0.05) and ventral (P < 0.01) horns compared to non-treated EAE animals and further reduced Iba-1 in the ventral horn compared to each drug-alone approach (P < 0.05). In addition, the combination of DMF and PGB reduced activated astrocytes (GFAP) in both the dorsal and ventral horns of the spinal cord to a na<c3><af>ve-like level and upregulated Nrf-2 expression. Taken together, the data herein suggest robust attenuation of the glial response in EAE mice treated with DMF and PGB.","no",NA,"PH",1,NA,"EAE","mouse","C57BL/6","female","8.5","Dimethyl fumarate","control",1,28,"2",0.9,6,0.3,1.6,5,0.3,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mouse","Marketed",NA,"","","","","","","","","","",NA,NA,NA,"EAE","54","experimental autoimmune encephalomyelitis","3","mice","10","not reported","NA","female","histology","behaviour","not reported","yes","No manual check required","not reported","No manual check required","yes","Manual check recommended","yes","Manual check recommended","not reported","No manual check required","not reported","No manual check required","yes","10.3389/fncel.2022.921916","alroliv@unicamp.br","1","89","174","70","457","174 - 457","1 - 805"
"71","rand","103389fnin2021663541",453,"Yang, T. and Zha, Z. and Yang, X. and Kang, Y. and Wang, X. and Tong, Y. and Zhao, X. and Wang, L. and Fan, Y.",2021,"Front Neurosci","Neuroprotective Effects of Fingolimod Supplement on the Retina and Optic Nerve in the Mouse Model of Experimental Autoimmune Encephalomyelitis","Favorable effects exerted by long-term administration of fingolimod therapy in multiple sclerosis (MS) patients have been reported, but sporadic side effects, such as reversible macular edema, also have been recorded. The present study aimed to determine whether fingolimod therapy is beneficial to the visual system in experimental autoimmune encephalomyelitis (EAE) mice. A decrease in demyelination and axon loss in the optic nerve as well as cellular infiltration, especially the recruited macrophages, was observed in EAE with fingolimod treatment. Fingolimod administration diminished hypergliosis of macroglia, including astrocytes and M<c3><bc>ller cells in the retina and optic nerve in EAE. Microglia were hyperactivated in the retina and optic nerve in the EAE mice compared to controls, which could be alleviated by fingolimod treatment. Moreover, apoptosis of retinal ganglion cells (RGC) and oligodendrocytes in the optic nerve was significantly reduced with fingolimod treatment compared to that in the untreated EAE mice. These results suggested that fingolimod exerts neuroprotective and anti-inflammatory effects on the retina and optic nerve in a mouse model of EAE. Considering the paradox of favorable and side effects of fingolimod on visual system, we speculate that side effects including macular oedema caused by fingolimod during MS treatment is tendency to be vasogenic rather than hypergliosis in optic nerve and retina which warrants further neuroophthalmological investigation.","no",NA,"PH",1,NA,"EAE","mouse","C57BL/6","female","5","Fingolimod","control",1,48,"2",0.5,12,0.1,2.1,12,0.1,"mean, SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mouse","Marketed",NA,"","","","","","","","","","",NA,NA,NA,"EAE","81","optic neuritis","2","mice","33","mouse","2","female","histology","behaviour","not reported","yes","Manual check recommended","not reported","No manual check required","yes","No manual check required","yes","Manual check recommended","not reported","No manual check required","not reported","No manual check required","yes",NA,NA,"76","69","124","62","463","124 - 463","1 - 748"
"72","rand","103390ijm232214209",446,"Weier, A. and Enders, M. and Kirchner, P. and Ekici, A. and Bigaud, M. and Kapitza, C. and W<c3><b6>rl, J. and Kuerten, S.",2022,"Int J Mol Sci","Impact of Siponimod on Enteric and Central Nervous System Pathology in Late-Stage Experimental Autoimmune Encephalomyelitis","Multiple sclerosis (MS) is an autoimmune disease of the central nervous system (CNS). Although immune modulation and suppression are effective during relapsing-remitting MS, secondary progressive MS (SPMS) requires neuroregenerative therapeutic options that act on the CNS. The sphingosine-1-phosphate receptor modulator siponimod is the only approved drug for SPMS. In the pivotal trial, siponimod reduced disease progression and brain atrophy compared with placebo. The enteric nervous system (ENS) was recently identified as an additional autoimmune target in MS. We investigated the effects of siponimod on the ENS and CNS in the experimental autoimmune encephalomyelitis model of MS. Mice with late-stage disease were treated with siponimod, fingolimod, or sham. The clinical disease was monitored daily, and treatment success was verified using mass spectrometry and flow cytometry, which revealed peripheral lymphopenia in siponimod- and fingolimod-treated mice. We evaluated the mRNA expression, ultrastructure, and histopathology of the ENS and CNS. Single-cell RNA sequencing revealed an upregulation of proinflammatory genes in spinal cord astrocytes and ependymal cells in siponimod-treated mice. However, differences in CNS and ENS histopathology and ultrastructural pathology between the treatment groups were absent. Thus, our data suggest that siponimod and fingolimod act on the peripheral immune system and do not have pronounced direct neuroprotective effects.","no",NA,"PH",1,NA,"EAE","mouse","C57BL/6","female","10.5","Fingolimod","control",1,48,"2",0.8,6,0.1,1.7,6,0.5,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siponimod",1,"2",1.5,8,0.2,2,6,0.3,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mouse","Marketed","Marketed","unclear","unclear","unclear","unclear","unclear","low","unclear","unclear","unclear","high",NA,NA,NA,"EAE","4","not reported","0","mouse","15","mice","10","female","histology","behaviour","not reported","yes","Manual check recommended","not reported","No manual check required","yes","Manual check recommended","yes","Manual check recommended","not reported","No manual check required","yes","Manual check recommended","yes",NA,NA,"16","45","1235","118","1047","1235 - 1675","1 - 1881"
"73","rand","103390molecule27134217",318,"Ort<c3><ad>z, G. G. and Briones-Torres, A. L. and Benitez-King, G. and Gonz<c3><a1>lez-Ort<c3><ad>z, L. J. and Palacios-Maga<c3><b1>a, C. V. and Pacheco-Mois<c3><a9>s, F. P.",2022,"Molecules","Beneficial Effect of Melatonin Alone or in Combination with Glatiramer Acetate and Interferon ÃŽÂ²-1b on Experimental Autoimmune Encephalomyelitis","Experimental autoimmune encephalomyelitis (EAE) is a relevant animal model of multiple sclerosis (MS). Oxidative stress and chronic inflammation play a major role in the pathogenesis of MS and EAE. Melatonin, a neurohormone, has potent anti-inflammatory properties. The aim of our study was to assess the therapeutic properties of melatonin alone or in combination with interferon <ce><b2>-1b (IFN<ce><b2>-1b) or glatiramer acetate (GA) on EAE. EAE was induced in male Sprague-Dawley rats with an intraperitoneal injection of a homogenate of spinal cord and pig brain. At day 10 post immunization, rats were euthanized, and their brains were immediately excised and processed to measure oxidative stress markers and membrane fluidity. In addition, proinflammatory cytokines were quantified in plasma. Melatonin alone or in combination with GA and IFN<ce><b2>-1b inhibited the disease process of EAE and the synthesis of proinflammatory cytokines, caused a significant decrement in oxidative stress markers, and preserved the membrane fluidity in the motor cortex, midbrain, and spinal cord. The cumulative index score was significantly reduced in EAE rats treated with melatonin alone or in combination with GA and IFN<ce><b2>-1b. In conclusion, our findings provide preclinical evidence for the use of melatonin as an adjuvant therapeutic treatment for MS.","no",NA,"PH",1,NA,"EAE","rat","Sprague-Dawley","male",NA,"Glatiramer acetate","control",1,72,"1",2,12,0,3.4,12,0.1,"mean, SD",NA,NA,NA,NA,NA,NA,NA,NA,"age=adult","Interferon Beta 1",1,"1",2.6,12,0.1,3.4,12,0.1,"mean, SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rat","Marketed","Marketed","","","","","","","","","","",NA,NA,NA,"EAE","26","experimental autoimmune encephalomyelitis","7","rats","14","mice","3","male","not reported","behaviour","not reported","yes","No manual check required","not reported","No manual check required","yes","Manual check recommended","yes","Manual check recommended","not reported","No manual check required","not reported","No manual check required","yes",NA,NA,"16","39","549","119","466","549 - 860","1 - 860"
"74","rand","103920bm20160018",2,"Abdurasulova, I. N. and Matsulevich, A. V. and Tarasova, E. A. and Kudryavtsev, I. V. and Serebrjakova, M. K. and Ermolenko, E. I. and Bisaga, G. N. and Klimenko, V. M. and Suvorov, A. N.",2016,"Benef Microbes","Enterococcus faecium strain L-3 and glatiramer acetate ameliorate experimental allergic encephalomyelitis in rats by affecting different populations of immune cells","The effect of probiotic Enterococcus faecium strain L-3 was studied in rats with experimental allergic encephalomyelitis (EAE). Glatiramer acetate (GA) was used as control drug. E. faecium strain L-3 and GA both were able to reduce the severity of EAE in a similar fashion. Both approaches increased the proportion of EAE resistant rats and rats with mild disease, prolonged the inductive phase of EAE and reduced the disease duration. Study of the phenotypes of immune cells in blood revealed the differences in immunoregulatory pathways that mediate the protective action of probiotic or GA treatment of EAE. The presence of pronounced protective and immunomodulating effects of the probiotic E. faecium strain L-3 opens an opportunity of its application for the treatment of multiple sclerosis.","no",NA,"IEB, WZ, PH",1,NA,"EAE","rat","Wistar","female","12","Glatiramer acetate","control",1,122,"1",1.7,35,0.2,3.4,26,0.5,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rat","Marketed",NA,"","","","","","","","","","",NA,NA,NA,"EAE","40","experimental allergic encephalomyelitis","3","rats","36","mouse","10","female","histology","behaviour","not reported","yes","No manual check required","not reported","No manual check required","yes","No manual check required","not reported","No manual check required","not reported","No manual check required","not reported","No manual check required","not reported","10.3920/BM2016.0018",NA,"19","29","67","193","361","67 - 361","1 - 576"
"75","rand","10410317355362335172",279,"Mitra, N. and Gurdib Singh, N. S. and Binti Wadingasafi, N. A. and Chellian, J.",2022,"Research in Pharmaceutical Sciences","Locomotor and histological changes in a cuprizone-induced animal model of multiple sclerosis: Comparison between alpha-tocopherol and fingolimod","Background and purpose: Fingolimod is a sphingosine 1-phosphate receptor modulator used to treat multiple sclerosis (MS). Alpha-tocopherol (AT) has been found to improve motor function in an animal model of MS. In the present study, the effects of AT and fingolimod on the locomotor function and histological evidence of demyelination were compared in a cuprizone-induced rat model of MS. Experimental approach: Female Sprague-Dawley rats (8 weeks) were fed with 0.2% (w/w) cuprizone diet for 5 weeks followed by intraperitoneal injections of fingolimod (3 mg/Kg; group F, n = 10) and alpha- tocopherol (100 mg/Kg; group A, n = 10). Vehicle-treated rats (group V, n = 10) were treated intraperitoneally with 1% ethanol in saline on weeks 6 and 7. Open field and beam walking tests were carried out every 10 days. The mean area of demyelination in the corpus callosum was quantified using Luxol fast blue stained histological sections of the forebrain. Findings/Results: The mean speed of movement was increased by 54% and 50% in groups F and A compared to group V. Total distance moved was increased by 61% and 52.7% in groups F and A compared to group V. Mean time to walk the beam was reduced in group A by 52% compared to group V. Mean frequency of crossing lines from the inner squares to outer squares was reduced in groups A and F compared to group V. Mean area of demyelination in corpus callosum showed 62% reduction in group A compared to group V. Conclusion and implications: Both fingolimod and AT treatments improved the locomotor function. However, AT treatment reduced the areas of demyelination in higher proportion and improved motor coordination and exploratory behavior.","no",NA,"WZ",1,NA,"cuprizone","rat","Sprague-Dawley","female","8","Fingolimod","control",1,30,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rat","Marketed",NA,"","","","","","","","","","",NA,NA,NA,"cuprizone","8","not reported","0","rats","30","not reported","NA","female","histology","behaviour","not reported","yes","Manual check recommended","not reported","No manual check required","yes","Manual check recommended","yes","Manual check recommended","not reported","No manual check required","not reported","No manual check required","not reported",NA,"NileshKumar@imu.edu.my","18","38","108","190","301","108 - 301","1 - 706"
